Neerslag op stedelijk gebied,Neerslag op landelijk gebied,Gebiedsbrede neerslag,Klasse,Voldoet aan norm
Geen risico,Geen risico,Geen risico,Geen risico,Ja
Geen risico,Geen risico,"Risico, lokale herkomst",Lokaal,Ja
Geen risico,Geen risico,"Risico, regionale herkomst",Gecombineerd,Nader onderzoeken
Geen risico,Risico,Geen risico,Landelijk,Nader onderzoeken
Geen risico,Risico,"Risico, lokale herkomst",Landelijk,Nader onderzoeken
Geen risico,Risico,"Risico, regionale herkomst",Landelijk,Nader onderzoeken
Risico,Geen risico,Geen risico,Stedelijk,Ja
Risico,Geen risico,"Risico, lokale herkomst",Stedelijk,Ja
Risico,Geen risico,"Risico, regionale herkomst",Stedelijk,Ja
Risico,Risico,Geen risico,Landelijk en stedelijk,Nader onderzoeken
Risico,Risico,"Risico, lokale herkomst",Landelijk en stedelijk,Nader onderzoeken
Risico,Risico,"Risico, regionale herkomst",Landelijk en stedelijk,Nader onderzoeken
