UP01_01,UP01_02,UP01_03,UP01_04,UP02_01,UP02_02,UP02_03,UP02_04,UP04_01,UP04_02,UP04_03,UP04_04,UP05_01,UP05_02,UP05_03,UP05_04,UP06_01,UP06_02,UP06_03,UP06_04,UP01_05,UP02_05,UP04_05,UP05_05,UP06_05
7,6,6,6,6,6,6,6,7,7,7,7,6,7,7,7,6,7,6,7,7,6,7,6,7
6,5,7,7,6,7,7,6,7,7,7,7,5,6,6,6,7,7,7,7,6,7,5,5,6
6,4,6,6,4,4,4,4,6,6,6,6,6,6,6,4,5,6,5,4,6,6,7,6,6
7,5,6,6,6,6,5,5,6,7,7,6,5,6,5,4,6,6,5,5,6,6,7,5,6
2,7,3,7,5,7,5,2,6,6,6,6,7,7,7,7,5,7,5,7,7,7,6,7,6
7,6,5,7,6,6,7,7,6,6,7,6,6,7,7,6,6,7,7,7,7,6,7,6,5
7,7,7,7,7,7,7,7,5,5,2,6,7,7,7,7,2,6,4,3,7,7,7,7,7
6,4,7,7,5,7,7,7,6,7,7,7,7,7,5,6,5,6,6,5,7,7,7,7,6
4,5,6,7,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,5,5,7,5,6,6
6,5,4,4,4,5,5,5,3,3,4,4,4,5,4,5,5,5,5,6,5,7,6,5,5
7,5,5,5,6,4,6,4,5,4,5,3,6,6,7,6,4,5,6,7,5,5,5,6,6
4,5,4,5,6,5,5,4,6,6,5,5,4,3,3,4,5,6,6,6,4,4,4,4,5
6,3,4,3,2,6,6,4,7,7,7,7,2,2,4,2,5,6,7,6,4,4,6,2,3
7,5,5,4,5,4,4,4,5,6,6,6,5,5,5,4,5,4,5,4,3,5,6,5,4
4,6,6,6,6,4,5,4,7,7,7,7,6,6,6,5,7,6,7,6,6,6,7,5,6
